m77_sign,g_sign_inferred,m77_freq,g_freq
MSg342,G740,1194,1267
MSg99,G2,536,583
MSg267,G820,318,157
MSg87,G32,313,261
MSg176,G400,312,328
MSg328,G520,312,233
MSg59,G220,304,284
MSg89,G742,274,28
MSg67,G31,234,145
MSg169,G390,213,200
MSg211,G520,209,233
MSg336,G861,191,169
MSg162,G390,187,200
MSg65,G3,183,160
MSg245,G615,176,55
MSg391,G820,173,157
MSg123,G60,161,175
MSg72,G233,159,140
MSg48,G176,147,146
MSg343,G741,144,155
MSg249,G590,137,152
MSg102,G3,136,160
MSg86,G31,126,145
MSg389,G17,119,54
MSg15,G368,117,76
MSg293,G920,116,114
MSg171,G415,108,112
MSg1,G90,106,109
MSg53,G798,102,99
MSg347,G760,94,87
MSg51,G550,88,78
MSg402,G368,85,76
MSg8,G100,85,90
MSg387,G803,83,103
MSg403,G840,81,81
MSg149,G690,77,69
MSg287,G900,75,79
MSg17,G140,72,74
MSg216,G550,71,78
MSg124,G4,71,65
MSg12,G151,68,67
MSg254,G527,67,47
MSg244,G61,67,73
MSg204,G503,66,66
MSg104,G4,66,65
MSg307,G892,64,50
MSg95,G231,60,60
MSg70,G231,57,60
MSg121,G55,56,42
MSg112,G482,56,23
MSg130,G60,54,175
MSg373,G790,51,29
MSg150,G692,49,52
MSg194,G752,48,44
MSg341,G904,47,35
MSg197,G55,46,42
MSg375,G717,45,35
MSg127,G440,45,34
MSg230,G460,45,40
MSg155,G72,44,11
MSg28,G125,42,46
MSg175,G350,42,32
MSg252,G154,41,37
MSg294,G904,39,35
MSg345,G501,39,31
MSg182,G318,39,12
MSg106,G5,36,39
MSg180,G297,36,12
MSg284,G790,34,29
MSg326,G630,34,24
MSg173,G416,33,36
MSg296,G585,33,33
MSg178,G91,32,17
MSg109,G16,31,38
MSg327,G388,31,33
MSg344,G742,31,28
MSg358,G752,29,44
MSg103,G13,28,22
MSg135,G384,27,19
MSg242,G621,25,19
MSg205,G171,24,19
MSg319,G165,24,19
MSg60,G226,24,26
MSg186,G317,24,7
MSg100,G632,23,16
MSg193,G636,22,19
MSg233,G455,22,28
MSg210,G18,22,6
MSg177,G104,20,17
MSg409,G495,20,16
MSg348,G222,20,16
MSg153,G877,20,14
MSg81,G269,19,8
MSg253,G190,18,10
MSg66,G236,18,21
MSg379,G491,17,14
MSg54,G831,17,14
MSg258,G175,17,15
MSg2,G320,16,14
MSg113,G48,16,14
MSg41,G321,16,13
MSg214,G821,15,10
MSg136,G240,15,256
MSg192,G335,15,24
MSg125,G526,14,12
MSg76,G260,14,8
MSg47,G175,14,15
MSg14,G740,13,1267
MSg119,G905,13,11
MSg139,G679,13,13
MSg224,G565,13,11
MSg40,G137,13,14
MSg321,G401,13,5
MSg400,G374,12,9
MSg397,G371,11,8
MSg406,G63,11,9
MSg325,G382,11,11
MSg250,G592,11,7
MSg183,G844,11,8
MSg75,G219,11,6
MSg264,G545,10,8
MSg277,G504,10,9
MSg323,G484,10,10
MSg62,G100,10,90
MSg301,G260,10,8
MSg9,G101,10,7
MSg93,G592,10,7
MSg63,G391,10,6
MSg304,G890,10,11
MSg286,G468,9,8
MSg215,G467,9,7
MSg374,G777,9,6
MSg386,G510,9,8
MSg303,G360,9,7
MSg128,G443,8,4
MSg73,G521,8,6
MSg202,G556,8,7
MSg292,G792,8,9
MSg172,G370,8,6
MSg295,G824,8,6
MSg68,G298,8,7
MSg388,G804,8,8
MSg219,G880,8,8
MSg201,G221,8,5
MSg367,G35,8,15
MSg226,G243,8,10
MSg167,G390,6,200
MSg32,G111,6,9
MSg340,G712,5,4
MSg263,G850,5,30
MSg268,G202,3,4
MSg188,G330,3,1
MSg368,G861,2,169
