parpola,g_sign,n,consistency,alternatives
P000,G892,5,0.2,G527:1 G820:1 G520:1
P001,G151,3,1.0,
P003,G168,2,0.5,G94:1
P004,G156,6,0.83,G154:1
P007,G107,1,1.0,
P009,G100,4,1.0,
P010,G101,1,1.0,
P011,G140,10,1.0,
P012,G100,1,1.0,
P013,G90,9,1.0,
P014,G93,1,1.0,
P020,G104,1,1.0,
P022,G136,1,1.0,
P023,G95,1,1.0,
P026,G130,2,1.0,
P031,G142,3,1.0,
P032,G144,1,1.0,
P035,G125,4,1.0,
P038,G119,1,1.0,
P040,G111,2,1.0,
P041,G112,1,1.0,
P043,G344,2,0.5,G345:1
P044,G346,1,1.0,
P048,G243,1,1.0,
P050,G220,30,0.97,G706:1
P051,G226,4,0.75,G236:1
P053,G222,1,1.0,
P054,G940,1,1.0,
P056,G231,7,0.86,G220:1
P058,G233,15,1.0,
P060,G235,17,0.94,G220:1
P061,G236,1,1.0,
P062,G240,20,1.0,
P065,G244,1,1.0,
P067,G269,3,0.67,G267:1
P070,G272,1,1.0,
P071,G260,1,1.0,
P073,G255,8,1.0,
P075,G798,4,1.0,
P076,G190,4,1.0,
P082,G207,2,0.5,G205:1
P084,G287,1,1.0,
P086,G390,34,0.79,G405:4 G407:2 G406:1
P089,G391,1,1.0,
P091,G350,4,1.0,
P092,G415,6,1.0,
P094,G521,1,1.0,
P095,G416,4,1.0,
P096,G772,3,0.67,G773:1
P098,G400,4,1.0,
P099,G413,1,1.0,
P103,G374,2,1.0,
P108,G371,4,0.5,G372:1 G279:1
P110,G388,3,1.0,
P111,G382,2,1.0,
P114,G70,3,0.67,G72:1
P117,G776,2,0.5,G786:1
P120,G60,21,1.0,
P121,G1,9,1.0,
P122,G2,70,0.99,G32:1
P123,G3,12,1.0,
P124,G4,4,1.0,
P125,G5,4,0.75,G3:1
P126,G16,6,1.0,
P127,G17,3,1.0,
P128,G18,2,1.0,
P136,G48,1,1.0,
P139,G13,3,0.67,G1:1
P142,G55,4,1.0,
P144,G31,7,1.0,
P145,G32,25,0.88,G600:1 G2:1 G252:1
P147,G33,13,0.92,G36:1
P151,G32,2,0.5,G35:1
P154,G900,11,0.64,G920:3 G101:1
P156,G920,1,1.0,
P160,G920,6,0.83,G900:1
P166,G250,1,1.0,
P172,G904,1,1.0,
P174,G906,3,1.0,
P175,G923,7,1.0,
P177,G908,1,1.0,
P178,G890,1,1.0,
P180,G796,1,1.0,
P181,G897,1,1.0,
P182,G892,2,0.5,G898:1
P186,G465,2,0.5,G475:1
P188,G435,2,1.0,
P193,G175,1,1.0,
P194,G176,7,1.0,
P195,G484,1,1.0,
P197,G482,1,1.0,
P201,G65,5,1.0,
P202,G368,10,1.0,
P204,G61,4,1.0,
P205,G297,10,0.3,G298:1 G311:1 G304:1
P207,G502,1,1.0,
P208,G500,1,1.0,
P210,G503,5,1.0,
P211,G504,1,1.0,
P215,G460,5,1.0,
P217,G520,17,1.0,
P221,G455,4,1.0,
P226,G545,4,1.0,
P228,G531,1,1.0,
P230,G550,21,0.43,G798:7 G555:2 G552:2
P231,G556,1,1.0,
P232,G560,1,1.0,
P237,G564,1,1.0,
P238,G565,2,1.0,
P251,G81,1,1.0,
P253,G84,1,1.0,
P254,G684,1,1.0,
P255,G690,1,1.0,
P256,G692,11,0.91,G690:1
P258,G693,1,1.0,
P265,G621,1,1.0,
P268,G617,9,0.56,G243:1 G831:1 G70:1
P270,G632,5,0.6,G630:1 G636:1
P272,G362,1,1.0,
P275,G513,2,0.5,G511:1
P276,G590,4,1.0,
P280,G595,1,1.0,
P281,G611,1,1.0,
P283,G440,3,1.0,
P285,G572,1,1.0,
P288,G585,3,1.0,
P289,G575,3,1.0,
P290,G579,1,1.0,
P293,G360,1,1.0,
P294,G361,1,1.0,
P296,G317,1,1.0,
P300,G257,1,1.0,
P301,G527,6,0.83,G526:1
P303,G320,2,1.0,
P307,G329,1,1.0,
P309,G336,3,0.67,G337:1
P310,G700,1,1.0,
P313,G734,1,1.0,
P316,G705,18,0.67,G706:3 G33:1 G595:1
P320,G717,2,1.0,
P324,G740,90,0.97,G741:3
P325,G741,12,1.0,
P326,G742,2,1.0,
P327,G745,1,1.0,
P332,G760,9,0.89,G752:1
P335,G765,1,1.0,
P341,G932,1,1.0,
P342,G165,2,1.0,
P346,G171,1,1.0,
P349,G840,10,0.9,G844:1
P352,G845,2,0.5,G844:1
P353,G215,2,1.0,
P355,G790,4,0.75,G850:1
P358,G794,2,1.0,
P359,G853,2,1.0,
P360,G373,1,1.0,
P364,G803,15,0.6,G806:6
P366,G832,1,1.0,
P368,G832,2,1.0,
P369,G814,3,0.67,G812:1
P372,G2,1,1.0,
P378,G820,16,0.94,G821:1
P381,G879,1,1.0,
P382,G877,1,1.0,
P384,G880,2,1.0,
P385,G861,30,0.57,G817:12 G803:1
P386,G202,1,1.0,
P390,G872,1,1.0,
P393,G864,1,1.0,
