mackay_no,field_no,area,block,level_ft,phase_estimate,context
78,,,Main Street,-5.9,Late I,"hape of the Sumerian seals have been found at Mohenjo-daro (No. 78 at the level -5-9 ft.; No. 376 at -11-8 ft.; and No, 488 at -14-5 ft.). All three, it will be obser"
376,,,Main Street,-11.8,Intermediate I,"e been found at Mohenjo-daro (No. 78 at the level -5-9 ft.; No. 376 at -11-8 ft.; and No, 488 at -14-5 ft.). All three, it will be observed, come from the upper strata"
701,SD 3192,SD,1,-1.1,Late I,"e, that enters it at its northern end. In Divinity Street a seal, No. 701 (SD 3192 ; Pl. LXX XII), was found at the level -1-1 ft., and the white stone marble (SD 3215; Pl."
698,SD 3058,SD,1,0.1,Late I,"y, do not assist_us very much in determining its purpose. A seal, No. 698 (SD 3058 ; Pl. LX XXII) was found at the level +0-1 ft. in the fenestrated court and an amuletic cl"
697,,,Main Street,,,"nt city. Close to the entrance to the well-room in Block 6, seal 697 in Pl. LXXXIT was unearthed in the street at the level +1+2 ft.; and further north at point 2, seal"
695,,,Main Street,2.1,Late I,"street at the level +1+2 ft.; and further north at point 2, seal 695 lay at the level +2-1 ft. 1, and from the same level. Seal 696 also came from Main Street at point"
696,,,Main Street,,,"l 695 lay at the level +2-1 ft. 1, and from the same level. Seal 696 also came from Main Street at point Block 2 (Pls. II, b,d; VJ). Block 2 (the Stipa section) has bee"
703,,,2,-1.1,Late I,"riod, which is what one would expect. In this block (at 7), seal 703 (Pl. LXXXII) was found at the level 1-1 ft. below datum. Block 6 (Pls. III, b,d; 1V,a,c,e; V,a,e,d;"
702,,,6,-0.8,Late I,", lay 2-4 ft. below datum in room 22. In room 13 were found seal 702 (Pl. LXX XII), and also the curious round bronze tablet with figures in relief on both faces, illus"
700,,,6,,,"l. LX XI, 24) from the level -0-8 ft. In this room also was seal 700 (Pl. LX XXII), at approximately the same level as the hone. Another seal, No. 704, came from room 3"
704,,,6,,,"XXII), at approximately the same level as the hone. Another seal, No. 704, came from room 30, some 0-7 ft. below datum. (Pl. In the narrow alley between Blocks 6 and 8 a pie"
16,,,192A,,,"38 . . . . . < E . : . (Pl. LXXVII, 11) . : j 3 é -16°3 . . Seal 16 21 vi 5 Chert Burnisher . Ivory Awl PotteryDove a . House III. Ivory Hair-pin . Room. < (Pl. LXXXVI"
3,,,192A,,,"30 - “ 4 . ake ‘ $ & : «(EL LXXXVII, 245) oP CXR a6) ates o Seal 3°9 é A = = 5 : e 29 30 30 - 8:8 - 4:9 4:9: 4°5. * ‘ * 29 29 - . : 2 - 94 f e 6 - 68 . 6 - 6 19 18 -"
5,,,192A,,,"ER OO) (PL CVI, 6) ey. m - : a A 2 : ; 32 -19°4 -15-7 -15-4 Seal 5 “ F . (Pl. XCVI, 510) . ci A s » 34 -15°2 Storage Vessel | Bone Gamesman a a ‘é a A 5 . . (PL. LXI,"
1,,,192A,,,"UTHERN Object. Plate and No. Copper Bolt Bronze Bolt Silver Seal 1 to 124A. Room, (Pl, eae 26) . (Pl. ne (Pl. Pottery Dove Bronze Hook BLOCKS (Pl. OXXVIII, 8) . (Pl."
279,,,7,,,"fferBeda of three compartments is apparently represented on seals 279, 430 and Type AN (Pl. LXV, 48-50). These three vessels of a type that is very rare were all found t"
7,,,7,,,"k. ® Cf. the mangers in front of the various animals on the seals, 7 Mohenjo-daro and the Indus Civilization, pl. XCI, figs. 13, 14, 16. 8 One species appears to have b"
39,,,7,,,x =|x}f-}-|- 33 |LA| x 3a |aK| x a3 ea] Pn as 37|La| x | de seal 39| AS) x 40\as| x -|x)dea oieloa x 1x FH fH fo} l -{-j-} -|-|-| x] x}-}-]*/-}-] ar |as| x -|x|-|-|-!-
420,,,7,,,"cation as it was worn by male and female figures alike. See seal No. 420. Sites pep ies34. STATUES, FIGURINES AND MODEL ANIMALS, 269 Nursing Mothers. The nursing mothers in"
430,,,7,,,"that of a goat. : ante is animal, alertat apirsjodare (see seal No. 430 in Pl. XCIV) and may have been intimately associated with a deity. Son FURTHER 276 EXCAVATIONS AT M"
316,,,7,,,"res are not unlike the figure dancing before the unicorn on seal 316 in Pl. LXXXVIM, though this figure has a long tail, whereas that of No, 8, Pl. LXXXI, is short and"
229,,,7,,,"14. SEALS, SEAL IMPRESSIONS, AND COPPER TABLETS. 327 shaped seal No. 229, the manger or feeding-vessel is missing. No. 135 is also peculiar in that the bull is facing to th"
500,,,7,,,"of the British Academy, vol. XVIII, p. 13, No. 15. See also seal 500 in pl. XOVT in this book. 2 A very similar seal of grey steatite is illustrated in the Antiquaries"
661,,,7,,,"asons FURTHER 328 EXCAVATIONS AT MOHENJO-DARO, The scene on seal 661, two bulls in combat, is the first that we have found. But though this seal was found at the low le"
512,,,7,,,"e only one, on which it is clearly depicted.* The animal on seal 512, it should be noted, faces the opposite way to the rest. : In the best cut figures, Nos. 127, 171,"
648,,,7,,,"epresent females. According to native lore, the elephant on seal 648 would be regarded as of very inferior breed owing to the slope of its back and the length of its le"
259,,,7,,,"not a pictographic sign in an unusual position on the seal. Seal 259, though unfortunately broken, bears one of the most realistic presentations of the tiger that we ha"
257,,,7,,,"as in early Sumerian art to show both the rugged horns. On seals 257, 445, 587 and 696, there is the usual type of manger, and one set on a high pedestal on seal 332 ap"
332,,,7,,,"the usual type of manger, and one set on a high pedestal on seal 332 apparently has some food projecting from it. Seal 279 has what would seém to be a partitioned feedi"
140,,,7,,,s that in front of the short-horned bull and other animals. Seal 140 is most unusual in that the cult object hitherto exclusively associated with the urus bull is subst
651,,,7,,,possible that on this seal we have a mingling of two cults. Seal 651 is in a perfect state of preservation and depicts the rhinoceros with greater fidelity than on any
45,,,7,,,"rocodiles, are rarely found on the seals of Mohenjo- daro ; seals 45, 133 and 488 are the only three from this section of the site. On No. 45 the reptile is carved on o"
133,,,7,,,"lace for its representation. It is very clearly depicted on seal 133, and I am inclined to regard the fish before it as the prey of the croco- dile rather than as a pic"
488,,,7,,,"f the croco- dile rather than as a pictograph. The cylinder seal, No. 488, shows a fish in the jaws of the reptile, as on seal 45 also, The gharial appears on two sealings i"
479,,,7,,,"332 EXCAVATIONS AT MOHENJO-DARO. antelopes. The animals on seals 479, 488(?) and 565 also appear to be Sumerian a quite has it e becaus st first of these seals is of un"
554,,,7,,,"als, and the material, we can imported, perhaps from Elam.’ Seal 554 [see also Pl. C, (D)] shows an antelope the or wild goat in a posture that is far more common in Su"
24,,,7,,,"ient Sindh, though it should be noted that headed beasts on seals 24 and 494 is looking backwards in the same manner. This attitude is quite usual to antelopes and wild"
670,,,7,,,"rest they will be more fully dealt with later. On the small seal 670, also, a domesticated goat is seen, but looking backwards as wild goats are frequently represented."
673,,,7,,,"mal has a very shaggy neck. The long beard of the animal on seal 673 is quite correct, since the beard of this species some- times reaches a length of 6 ins. The curiou"
313,,,7,,,"ns, or they may be ears, appears amongst the pictographs on seal 313, 5 Cf. Friederichs, Der Alte Orient, (1933), No. 32, pts. 3 and 4, pp. 16, 17. ei eOne and the Indu"
450,,,7,,,"some of these appendages which is especially noticeable on seal 450, where it at first sight appears to be part of a collar round the neck; the tusks of the elephant a"
234,,,7,,,te by chance that none have been found in the upper strata. Seals 234 and 359 are unusual in that although the animal represented is the urus bull the seal-cutter gave i
411,,,7,,,"e the horns are very like those of the composite animals on seals 411, 450, 521, 606, etc., and also those of the Brahmani bull. The animal on a fragment of a seal, No."
330,,,7,,,"o those of the Brahmani bull. The animal on a fragment of a seal, No. 330, cannot at present be satis- factorily identified. The folds of the skin suggest the urus, but ther"
360,,,7,,,"worshipper desired to be freed ”’.’ The two-horned tiger on seal 360 is already known to us, as it occurs on a previously found seal, engaged in combat with a horned he"
222,,,7,,,"XI, 357. c SEALS, SEAL IMPRESSIONS, AND COPPER TABLETS. 335 Seal 222 depicts a figure, probably that of a deity, seated in what may be a yog? attitude with the heels pr"
235,,,7,,,"figure has three faces, one in front and two in profile. On seal 235 there is a somewhat similar figure. The stool is omitted, however, and the figure is apparently sea"
347,,,7,,,"to terminate with a bow, as on the pigtail of the figure on seal 347. Though all three of these figures appear to be male deities, the pigtail of No. 235 is also worn b"
510,,,7,,,"l is a food-vessel or a pictograph is uncertain. On another seal, No. 510, a buffalo appears to have attacked a number of people who are lying on the ground around him in ev"
522,,,7,,,"voured in Crete in early times, The man seated in a tree on seal 522 with a tiger below is now quitea familiar subject on the seals of Mohenjo-daro, but this particular"
75,,,7,,,"undoubtedly illus- trates a legend which was very popular. Seals 75, 86, 122 and 454 all bear the same, extremely unusual scene, and the descriptions of seal 75 which"
606,,,7,,,"145. 4 Quibell and Green, Hierakonpolis, I, pls. LXXV 5 Cf. seal 606. ; GXXVI. vol. VII, FURTHER 338 EXCAVATIONS AT MOHENJO-DARO, and wearing a long pigtail and a spray"
389,,,7,,,"e exception of the conventional arrangement of the pipal on seal 389 of Mohenjoaa eae Indus Civilization, trees are represented in a very naturalistic fashion on both t"
437,,,7,,,"unreasonable on one to connect the figure on of the seals,° seal 437 with Durga his consort, whose vehicle is the tiger. It depends entirely whether the human part of t"
641,,,7,,,"accept as the sun-disk the curious object with rays seen on seal 641 and in PI. C, (G), in which the head of this beast takes the place of the sixth ray. If we conclude"
