no,type,dims_in,material,block,house,room,street,level_ft,field_no,pdf_page,area,level_dk_ft,phase_estimate
1,E,0.7x0.68x0.23,V. Paste,,,,,surface,DK 10436,45,DK,,surface
2,B,0.94x0.92x0.3,Steatite,,,,West St.,+2.0,DK 10323,45,DK,2.0,Late I
3,B,1.05x1.12x0.2,Steatite,,,,,surface,DK 10799,45,DK,,surface
4,F,1.42x0.7x0.45,Steatite,9,III,26,,-2.0,DK 3431,45,DK,-2.0,Late I
5,B,0.9x0.9x0.28,Steatite,1,VI,51,,-2.2,DK 5223,45,DK,-2.2,Late I
6,?,0.77x0.49x0.3,Steatite,8A,,42,,-3.2,DK 10087,46,DK,-3.2,Late I
7,B,1.12x1.12x0.25,Steatite,9,III,29,,-2.4,DK 3379,46,DK,-2.4,Late I
8,B,1.3x1.3x0.45,Steatite,,,,,-2.4,DK 10014,46,DK,-2.4,Late I
9,B,1.6x?x0.4,Steatite,19,,13,,-2.5,DK 10508,46,DK,-2.5,Late I
10,B,0.9x0.9x0.28,Steatite,,,,Central St.,-2.5,DK 11617,46,DK,-2.5,Late I
11,B,1.33x1.32x0.35,Steatite,10,III,1,,-3.0,DK 4663,46,DK,-3.0,Late I
12,B,0.97x0.97x0.35,Steatite,7,V,63,,-2.9,DK 3353,46,DK,-2.9,Late I
13,B,1.05x1.05x0.3,Steatite,15,VI,29,,-3.5,DK 11212,46,DK,-3.5,Late I
14,B,0.9x0.9x0.2,Steatite,18,,88,,-3.5,DK 10157,46,DK,-3.5,Late I
15,B,1.11x1.11x0.31,Steatite,20,I,6,,-3.5,DK 12523,46,DK,-3.5,Late I
16,B,0.61x0.61x0.25,Silver,9,XII,95,,-3.5,DK 10302,46,DK,-3.5,Late I
17,E,0.6x0.6x0.16,Paste,8,III,25,,-3.6,DK 10511,46,DK,-3.6,Late I
18,B,1.1x1.05x0.32,Steatite,9,I,36,,-3.2,DK 3285,46,DK,-3.2,Late I
19,B,1.85x1.85x0.5,Steatite,7,V,53,,-3.7,DK 3356,46,DK,-3.7,Late I
20,F,?x0.35x?,Steatite,8,II,22,,-4.2,DK 3335,46,DK,-4.2,Late I
21,B,0.8x0.8x0.31,Steatite,22,,5,,-3.7,DK 10149,46,DK,-3.7,Late I
