plate_no,repaired,area,serial,level_ft_below_surface,size_in,type,page,column,ocr_line
1,yes,HR,4161,,,B,56,L,Io2@r os 1s 3 0 B Wh — — HR 4161
2,,E,1187,4.2,,B,56,L,"2 8 ow rs 4° 2"" B Whe — — E1187"
3,,VS,823,2.0,,B,56,L,3 185 85 2° 0” B Wh — — VS 823
4,,HR,582,3.0,8x18,,56,L,4 v8 x18 3° 0” RB Wh — — HR 582
5,yes,HR,3330,,,,56,L,sora? 770° Bo Wh — — HR 3330
6,,HR,104,2.00,,,56,L,6 19 \ Tq 2’ oO” Bo Wh — — HR 104
8,,HR,743,,29x20,,56,L,8 29 K 20 zy BRB Wh — HR 743
9,,C,1895,2.9,25x25,,56,L,9 25 K 25 2° 9” Bo Wh — — C 1895
10,,HR,4601,3.0,,,56,L,IO BL oy 2d 3’ Of BR Wh — — HR 46o1
11,yes,C,194,5.3,,B,56,L,TE 2:25 If 225 5° 3” B Whe —- — C 194
12,,C,2691,1.6,185x1.85,,56,L,12 185 ¥ 1-85 1’ 6” Bo Wh — — C2691
13,,HR,1575,2.6,,,56,L,"13 O85 2 ¢ 2° 6"" Bo Whe — — HR 1575"
14,,DK,315,,3x0,B,56,L,14 63 ~ 3 3/0” B Wh — — DK 315
15,,VS,1329,1.6,,,56,L,IS 21 woat 1’ 6” Bo Wh — — VS 1329
16,,VS,1037,2.35,235x2,B,56,L,"16 235 K 2°35 37, 3” B Wh — — _ VS 1037"
17,,HR,4568,3.3,,B,56,L,"17 225 KX ? 3° 3"" B Who — — HR 4568"
18,,HR,5804,2.9,,,56,L,18 27 7 29 2’ 9” Bo Wh — — HR 5804
19,yes,VS,1799,1.35,,,56,L,tg 35 1°35 5’ 9” BRB Wh — — VS 1799
20,yes,VS,1469,3.6,,B,56,L,"200 gs 4 145 3° 6"" B Wh — — VS 1469"
21,yes,L,5,surface,,B,56,L,220 Tq ow Ig Sur. B Wh — — L 5
22,yes,HR,3730,,,B,56,L,230 $5 MS 9 0” B Wh — — _— HR 3730
24,,VS,2328,6.4,,,56,L,24 Ig Kg 6’ 4” BO OWh OS — VS 2328
25,,DK,1328,2.0,,B,56,L,25 4S ISS 2’ 0” B. Wh — — DK 1328
26,,SD,1839,3.9,,B,56,L,26 Oo9 K ? 3’ 9” B Wh — — SD 1839
27,,VS,1573,5.0,,,56,L,27) 85 M45 5’ 0” RB Wh — — _ VS 1573
28,,DK,2484,3.6,,,56,L,28 org Mog 3° 6” B OWh — DK 2484
29,,HR,4863,5.9,,B,56,L,29 135 N38 5’ 9” B Wh — — HR 4863
30,,HR,167,surface,,B,56,L,30 POS WG Sur. B Wh — — HR 167
31,,HR,5414,5.0,,B,56,L,31 6 6 5’ 0” B Wh — — HR 5414
32,,HR,5030,3.0,,,56,L,32 0C«deS 3’ 0” Bo Wh — HR 5030
33,,HR,2025,6.6,,B,56,L,"33-«r BO 8 6’ 6"" B Wh — — HR 2025"
34,yes,HR,2723,5.0,,,56,L,350 4S & 4g 5° 0” Bo Wh — = =— _— HR 2723
37,,DK,402,,37x65,,56,L,"37, 65 W165 1 9” RB Wh — — DK 402"
38,,VS,2040,2.6,,,56,L,38 Se eg 2’ 6” Bo Wh — — _ VS 2040
39,,VS,349,2.1,,,56,L,39 UF wT 2’ 1” RB Wh — — VS 349
40,,VS,2652,3.11,,B,56,L,40 35 * 135 3° 11” B Wh — — VS 2652
42,,HR,4356,2.0,,B,56,L,42 4 Kg 2’ 0” B Who o— — HR 4356
43,yes,DK,2055,1.6,02x12,,56,L,4h 02 X12 1’ 6” Bo Wh — — _ DK 2055
44,yes,DK,188,2.6,,,56,L,"$5 25 Meas 2’ 6"" Bo Wh — — DK 188"
45,yes,DK,2485,,,,56,L,"go 25» 3s 3 «6"" Bo Wh = — — DK 2485"
47,,VS,3414,6.0,,,56,L,47 2 “Mor2 6’ 0” BO Wh — VS 3414
48,,HR,4076,3.3,,,56,L,48 orig aoe 3° 3” Bo Who OO — HR 4076
49,yes,DK,108,,,,56,L,$9 TH log 1 6” Bo Wh = — — DK 108
50,,HR,5085,,,B,56,L,"50 130 13 6"" 0” B Wh — — _ HR 5085"
51,yes,HR,5629,3.9,,,56,L,§2 013 KX 3s 3° 9” Bo Wh — — HR 5629
52,yes,HR,629,,,,56,L,$3 rap K 12g aon BR Who — — HR 629
53,yes,VS,3594,5.0,,B,56,L,Sh Ig XK g 5’ 0” B Wh — — VS 3594
55,,DK,3069,5.0,,,56,L,SS ort 2 5’ 0” RB Wh — — DK 3069
57,,DM,189,9.0,,B,56,L,S7 op Ne reg 9’ 0” B Wh — — DM 189
58,yes,HR,2582,8.0,,,56,L,38 13 + 13 8’ 0” Bo Whe — — HR 2582
60,,C,3070,60.12,,,56,L,60° 125 ® 15 3° 0” BRB Wh — — C3070
61,yes,HR,1694,11.9,,,56,L,6r rg * 15 11’ 9” Bo OWh — HR 1694
63,,HR,1695,11.00,,,56,L,63 6s << 3 11’ oo” Bo Wh — -— HR 1695
64,,HR,2466,14.0,,B,56,L,64 thw 2? 14’ 0” B Wh — — HR 2466
65,,HR,5320,4.0,,,56,L,"65 le wos 4° 0"" Bo Wh — HR 5320"
66,,VS,1059,3.6,,,56,L,"66 7s vs 3° 6"" Bo Wh — VS 1059"
67,,HR,2406,10.9,85x183,,56,L,67 85 . 183 10° 9” BO Wh — — HR 2406
69,,HR,649,,,B,56,L,69 ro 8 18 3 0% B. Who — — HR 649
70,yes,VS,2664,2.0,,,56,L,FQ U2 + 12 5 2’ BO Whe — — VS 2664
71,yes,DK,33,,,,56,R,J2 Is urs ori” Bo Wh —~- DK 33
75,,DK,2133,,,B,56,R,7S GE MOGI 7 oO B Wh — — DK 2133
76,yes,C,3085,3.0,,,56,R,7O TT NUL 3° Ug! Bo Wh — —~ C3085
77,yes,C,2768,0.0,,,56,R,G7 UT wit 7 0° BRB Wh — — C2768
79,,E,555,3.0,3x39,,56,R,"79 O86 3% 39 3° ~O8"" Bo Wh — — E sss"
80,,HR,262,,,,56,R,8o rr i rt 1 O° BB. Whe — — HR 262
81,yes,DK,2198,3.0,,,56,R,Broz wk 125 3° 0 BRB Who — — DK 2198
82,,HR,2371,3.3,,B,56,R,"82 a5 x ? 3° 3"" B. Wh. —_ — HR 2371"
83,yes,SD,1930,,12x0,,56,R,84002 “Aor 12% 0” Bo Wh — — _= SD 1930
85,,VS,1819,,,B,56,R,85 rs Xs aor B Wh — — VS 1819
86,,HR,2863,2.0,,,56,R,86 rr Xr 2° 0” RB Wh — — _ HR 2863
87,,DK,2220,6.0,63x13,B,56,R,87 63 X13 6’ 0” B Wh — — DK 2220
89,,VS,3332,4.0,,B,56,R,89 ro xX To 4° 0° B. Wh — — VS 3332
90,yes,VS,47,,2x1,,56,R,gO 2 KX 12g 2% 1” Bo Wh — — VS 47
91,yes,B,426,,,,56,R,OF TIS N Vrs arom BO OWho — B 426
96,,HR,46254,,25x2,B,56,R,96 25K 2s _ B Wh — — = HR 46254
97,,HR,4385,,,,56,R,97 2 kK 1e2 27 9” Bo Wh — — — HR 4385
98,,E,829,3.0,125x125,,56,R,98 125 % 125 3° O° BR Wh — — €E 829
99,,VS,49,,,,56,R,99 IS KX is 2 oY” Bo Wh — — VS 49
100,yes,SD,2010,,10x9,,56,R,Too rig xX ? 10% 9” Bo Wh — — _ SD 2010
102,,HR,4560,surface,102x135,,56,R,102 . 135 K 1°35 Sur. Bo OWh — HR 4560
103,yes,HR,683,surface,,B,56,R,TOR IS KIS Sur. B Wh — — HR 683
104,yes,VS,1779,,5x0,,56,R,Tog 1 OX 10 5% 0” Bo Wh — — _~= VS 1779
105,,SD,2445,6.0,,B,56,R,1o5 TO kK 10 6’ 0” B Wh — — SD 2445
106,yes,HR,4238,3.0,085x085,,56,R,196 085 K 085 3° 0” Bo Wh — — HR 4238
107,yes,E,296,7.0,,B,56,R,woz ivr Kv 7’ 0” B Wh -— — E 296
108,,DK,596,6.0,,,56,R,108 ro x TO 6’ 0” Bo Wh — — DK 596
111,,SD,1850,6.0,,B,56,R,III _ 6’ 0” B Wh — — SD 1850
112,yes,E,2548,,,,56,R,iy 2 K ? _ Bo Whoo — — E2548
113,yes,HR,4965,6.0,19x10,B,56,R,lq 19 % 10 6° 0” B Wh — — HR 4965
114,yes,DM,67,6.0,,B,56,R,m6 br xr 6’ 0” B. Wh — > — DM 67
115,yes,VS,3595,7.00,,B,56,R,IZ? OPIS 12 7’ oO” B Wh — — VS 3595
118,,SD,370,8.9,,,56,R,118) FOS K 105 8’ 9” Bo Wh — ' — SD 370
119,yes,VS,2989,6.0,,,56,R,Tig ros x ros 6’ 0” Bo Wh — — VS 2989
120,,HR,4264,,,,56,R,120 IS Kris — Cc. — _ P. HR 4264
121,yes,VS,2542,5.8,,,56,R,"I2r rr X11 5’ 8"" Bo Wh — — ~ VS 2542"
123,,HR,37324,2.4,,B,56,R,123 ro xX 10 2’ 4” B Wh — — HR 37324
124,,HR,5700,,,B,56,R,124 _— g’ Oo” B Wh — — HR 5700
126,,HR,3207,,,B,56,R,126 to K£ 1ro 77 oO” B Wh — — HR 3207
127,,HR,4368,2.5,,,56,R,127) 105 & ros 2’ 5” Bo Wh — — HR 4368
128,yes,VS,978,,,,56,R,8 rr 4 117 9” BL Wh — — + VS 978
129,,E,1094,,,,56,R,129 1g K +6 oo = =BO Who E1094
130,,VS,1468,2.6,,,56,R,"130 Tos x Tog 2° 6"" Bo Wh — — VS 1468"
131,yes,VS,3301,5.0,,,56,R,13 Los % 10g 5° 0” Bo Whe — ' — VS 3301
133,,B,383,,,B,56,R,133 FOS K 10s 4+ 0” B Wh — — B 383
134,yes,E,2767,,,,56,R,I3q rl Kuve — Bo Whe — . — E2767
135,,HR,2973,,,B,56,R,135 TIS Korg — B Wh — — HR 2973
137,,VS,3154,,,,56,R,"137, PK Oy 18"" 0” BB Whe — VS 3154"
138,yes,HR,4986,,,B,56,R,r33 12g 5 3 2g” B. Wh — — HR 4986
139,,HR,5531,6.0,,,56,R,139 Iqg5 - #* 6’ 0” Bo Wh — — HR 5531
140,yes,DK,3279,7.0,,B,56,R,Igo ora l12 7’ 0” B Wh — — DK 3279
141,yes,HR,1950,,,,57,L,gt ro . TO sob BL Whe — —- HR 1950
142,,DK,3054,6.0,,,57,L,I42 135 1-38 6° KB Wh — — DK 3054
143,yes,HR,4057,,,,57,L,Zz O98 - os + Bo Wh — ~~ HR 4057
144,yes,HR,50976,6.0,,,57,L,tag Gq <2 6’ 0” RB Wh — — HR 50976
145,yes,DK,2971,,,,57,L,"gs C3, ; a7 O° BB Wh — — DK 2971"
148,,VS,1961,5.6,,,57,L,"148 OQ “09g 5’ 6"" B. , Wh — — _ VS 1961"
149,,HR,4384,9.95,4x095,,57,L,149 9°95 4% 095 2 0” BRB |) Wh — — HR 4384
150,yes,C,4185,1.4,,,57,L,1§0 Og K 09 1’ 4” Bo) Wh — — C4185
151,yes,DK,1892,,1085x035,,57,L,"1§§ 1085 \ 035 3 3"" BoWh — DK 1892"
156,,HR,2522,,,,57,L,"156 10 “ro tr’ 6"" Bo Wh — — HR 2522"
157,yes,VS,1066,0.0,3x0,B,57,L,$7 10 + 19 3/ 0° B Whe — VS 1066
158,yes,DM,50,,,,57,L,"1§3 orgs + O48 o7"" BRB Whe — — DM 50"
160,,E,1809,,10x19,B,57,L,160 10 % 19 roe B. Wh — — E1809
161,,HR,5030,4.0,,,57,L,"161 Os of os 4’ 0"" B ' Wh ~— — HR 5030"
163,,VS,3380,4.0,,,57,L,"163 o835 “ o8s 4° 0"" B' Who — — VS 3380"
164,yes,HR,398,,,,57,L,T6g) ters .035 5 of BO ' Wh — — HR 398
165,,C,206,,,,57,L,165 _ 5 6” Boo Wh — — C206
166,,HR,4635,,,,57,L,166 og » OF9 3 0” B. ' Whe — HR 4635
