plate_no,size_in,level_ft,level_in,type,material,area,serial,depth_ft,source_page
1,2.1x1.5,3,0,B,Steatite,HR,4161,3.0,p402L.csv
2,1.8x1.8,4,2,B,Steatite,E,1187,4.17,p402L.csv
3,1.85x1.85,2,0,B,Steatite,VS,823,2.0,p402L.csv
4,1.8x1.8,3,0,B,Steatite,HR,582,3.0,p402L.csv
5,1.0x?,7,0,B,Steatite,HR,3330,7.0,p402L.csv
6,1.9x1.9,2,0,B,Steatite,HR,104,2.0,p402L.csv
7,0.7x0.7,3,0,B,Steatite,HR,4110,3.0,p402L.csv
8,2.0x2.0,3,0,B,Steatite,HR,743,3.0,p402L.csv
9,2.5x2.5,2,0,B,Steatite,C,1895,2.0,p402L.csv
10,2.1x2.1,3,0,B,Steatite,HR,4601,3.0,p402L.csv
11,2.25x2.25,5,0,B,Steatite,C,194,5.0,p402L.csv
12,1.85x1.85,1,6,B,Steatite,C,2691,1.5,p402L.csv
13,0.85x?,2,6,B,Steatite,HR,1575,2.5,p402L.csv
14,1.3x?,3,0,B,Steatite,DK,315,3.0,p402L.csv
15,2.1x2.1,1,6,B,Steatite,VS,1329,1.5,p402L.csv
16,2.35x2.35,3,0,B,Steatite,VS,1037,3.0,p402L.csv
17,2.25x?,3,0,B,Steatite,HR,4568,3.0,p402L.csv
18,2.7x2.7,2,0,B,Steatite,HR,5804,2.0,p402L.csv
19,1.35x1.35,5,0,B,Steatite,VS,1799,5.0,p402L.csv
20,1.4x1.4,4,9,B,Steatite,SD,1911,4.75,p402L.csv
21,1.45x1.45,3,6,B,Steatite,VS,1469,3.5,p402L.csv
22,1.4x1.4,surface,,B,Steatite,L,5,0.0,p402L.csv
23,1.45x1.5,9,0,B,Steatite,HR,3730,9.0,p402L.csv
24,1.4x1.4,6,4,B,Steatite,VS,2328,6.33,p402L.csv
25,1.45x1.45,2,0,B,Steatite,DK,1528,2.0,p402L.csv
26,0.9x?,8,9,B,Steatite,SD,1839,8.75,p402L.csv
27,1.85x1.45,5,0,B,Steatite,VS,1573,5.0,p402L.csv
28,1.4x1.4,3,6,B,Steatite,DK,2484,3.5,p402L.csv
29,1.35x1.35,5,0,B,Steatite,HR,4868,5.0,p402L.csv
30,1.65x1.6,surface,,B,Steatite,HR,167,0.0,p402L.csv
31,1.6x1.6,5,0,B,Steatite,HR,5414,5.0,p402L.csv
32,1.5x?,5,0,B,Steatite,HR,5030,5.0,p402L.csv
33,1.8x1.8,6,6,B,Steatite,HR,2025,6.5,p402L.csv
34,2.1x?,2,6,B,Steatite,C,181,2.5,p402L.csv
35,1.45x1.45,5,0,B,Steatite,HR,2723,5.0,p402L.csv
36,1.55x1.55,5,9,B,Steatite,F,46,5.75,p402L.csv
37,1.65x1.65,1,0,B,Steatite,DK,402,1.0,p402L.csv
38,2.5x2.5,2,6,B,Steatite,VS,2040,2.5,p402L.csv
39,1.7x1.7,2,1,B,Steatite,VS,349,2.08,p402L.csv
40,1.5x1.5,3,6,B,Steatite,D,187,3.5,p402L.csv
41,1.35x1.35,3,11,B,Steatite,VS,2652,3.92,p402L.csv
42,1.4x1.4,2,0,B,Steatite,HR,4356,2.0,p402L.csv
43,1.3x1.3,5,5,B,Steatite,C,841,5.42,p402L.csv
44,1.2x1.2,1,6,B,Steatite,DK,2055,1.5,p402L.csv
45,1.25x1.25,2,6,B,Steatite,DK,188,2.5,p402L.csv
46,1.25x1.25,3,6,B,Steatite,DK,2485,3.5,p402L.csv
47,1.2x1.2,6,0,B,Steatite,VS,3414,6.0,p402L.csv
48,1.15x1.15,3,0,B,Steatite,HR,4076,3.0,p402L.csv
49,1.4x1.4,1,6,B,Steatite,DK,108,1.5,p402L.csv
50,1.3x1.3,6,0,B,Steatite,HR,5085,6.0,p402L.csv
51,1.35x1.35,6,0,B,Steatite,HR,4945,6.0,p402L.csv
52,1.3x1.25,3,0,B,Steatite,HR,5629,3.0,p402L.csv
53,1.25x1.25,3,0,B,Steatite,HR,629,3.0,p402L.csv
54,1.4x1.4,5,0,B,Steatite,VS,3594,5.0,p402L.csv
55,1.2x1.2,5,0,B,Steatite,DK,3069,5.0,p402L.csv
56,,,,,,BJ,2,,p402L.csv
57,1.4x1.4,9,0,B,Steatite,DM,189,9.0,p402L.csv
58,1.3x1.3,8,0,B,Steatite,HR,2582,8.0,p402L.csv
59,1.25x?,7,0,B,Steatite,E,2401,7.0,p402L.csv
60,1.25x1.3,3,0,B,Steatite,C,3070,3.0,p402L.csv
61,1.5x1.5,11,0,B,Steatite,HR,1694,11.0,p402L.csv
62,,,,,,BJ,3,,p402L.csv
63,1.65x?,11,0,B,Steatite,HR,1695,11.0,p402L.csv
64,1.6x?,14,0,B,Steatite,HR,2468,14.0,p402L.csv
65,1.5x1.5,4,0,B,Steatite,HR,5320,4.0,p402L.csv
66,1.75x1.75,3,6,B,Steatite,VS,1059,3.5,p402L.csv
67,1.85x1.85,10,0,B,Steatite,HR,2406,10.0,p402L.csv
68,1.45x1.45,1,0,B,Steatite,D,21,1.0,p402L.csv
69,1.6x1.6,3,0,B,Steatite,HR,640,3.0,p402L.csv
70,1.2x1.2,5,2,B,Steatite,VS,2664,5.17,p402L.csv
71,,,,,,BJ,4,,p402R.csv
72,1.15x1.15,1,11,B,Steatite,DK,33,1.92,p402R.csv
73,1.1x1.1,3,0,B,Steatite,C,3191,3.0,p402R.csv
74,1.15x1.15,5,0,B,Steatite,DK,1541,5.0,p402R.csv
75,1.1x1.1,7,0,B,Steatite,DK,2130,7.0,p402R.csv
76,1.1x1.1,3,9,B,Steatite,C,3055,3.75,p402R.csv
77,1.1x1.1,7,0,B,Steatite,C,2768,7.0,p402R.csv
78,1.1x1.1,5,6,B,Steatite,E,1345,5.5,p402R.csv
79,0.6x0.6,3,0,B,Steatite,E,1585,3.0,p402R.csv
80,1.1x1.1,1,0,B,Steatite,HR,262,1.0,p402R.csv
81,1.2x1.25,3,0,B,Steatite,DK,2198,3.0,p402R.csv
82,1.35x?,3,3,B,Steatite,HR,2371,3.25,p402R.csv
83,1.2x1.2,1,0,B,Steatite,DK,12,1.0,p402R.csv
84,1.2x1.15,12,0,B,Steatite,SD,1930,12.0,p402R.csv
85,1.5x1.5,1,0,B,Steatite,VS,1819,1.0,p402R.csv
86,1.1x1.1,2,0,B,Steatite,HR,2863,2.0,p402R.csv
87,1.3x1.3,6,0,B,Steatite,DK,2220,6.0,p402R.csv
88,1.15x1.15,1,3,B,Steatite,VS,1,1.25,p402R.csv
89,1.0x1.0,4,0,B,Steatite,VS,3332,4.0,p402R.csv
90,1.2x1.25,2,1,B,Steatite,VS,47,2.08,p402R.csv
91,1.25x1.3,5,6,B,Steatite,DK,2147,5.5,p402R.csv
92,1.05x1.05,3,0,B,Steatite,HR,4411,3.0,p402R.csv
93,,,,,,BJ,4,,p402R.csv
94,1.15x1.15,8,0,B,Steatite,B,426,8.0,p402R.csv
95,1.3x1.3,1,3,B,Steatite,DK,92,1.25,p402R.csv
96,1.25x1.25,,,B,Steatite,HR,4625a,,p402R.csv
97,1.2x1.2,2,0,B,Steatite,HR,4385,2.0,p402R.csv
98,1.25x1.25,3,0,B,Steatite,E,829,3.0,p402R.csv
99,1.15x1.15,2,1,B,Steatite,VS,49,2.08,p402R.csv
100,1.15x?,10,0,B,Steatite,SD,2010,10.0,p402R.csv
101,1.3x1.3,3,0,B,Steatite,DK,1522,3.0,p402R.csv
102,1.35x1.35,surface,,B,Steatite,HR,4560,0.0,p402R.csv
103,1.15x1.15,surface,,B,Steatite,HR,683,0.0,p402R.csv
104,1.0x1.0,5,0,B,Steatite,VS,1779,5.0,p402R.csv
105,1.0x1.0,6,0,B,Steatite,SD,2445,6.0,p402R.csv
106,0.85x0.85,3,0,B,Steatite,HR,4238,3.0,p402R.csv
107,1.1x1.1,7,0,B,Steatite,E,296,7.0,p402R.csv
108,1.0x1.0,6,0,B,Steatite,DK,596,6.0,p402R.csv
109,1.1x1.1,1,3,B,Steatite,E,230,1.25,p402R.csv
110,0.9x0.9,3,0,B,Steatite,HR,4111,3.0,p402R.csv
111,,6,0,B,Steatite,SD,1850,6.0,p402R.csv
112,1.2x?,,,B,Steatite,E,2548,,p402R.csv
113,1.05x1.05,3,0,B,Steatite,DK,962,3.0,p402R.csv
114,1.0x1.0,6,0,B,Steatite,HR,4965,6.0,p402R.csv
115,1.15x1.15,3,0,B,Steatite,E,470,3.0,p402R.csv
116,1.1x1.1,6,0,B,Steatite,DM,67,6.0,p402R.csv
117,1.15x1.2,7,0,B,Steatite,VS,3595,7.0,p402R.csv
118,1.05x1.05,8,0,B,Steatite,SD,570,8.0,p402R.csv
119,1.05x1.05,6,0,B,Steatite,VS,2989,6.0,p402R.csv
120,1.15x1.15,,,C,Pottery,HR,4264,,p402R.csv
121,1.1x1.1,5,8,B,Steatite,VS,2542,5.67,p402R.csv
122,1.1x1.1,4,6,B,Steatite,D,316,4.5,p402R.csv
123,1.0x1.0,2,4,B,Steatite,HR,3732a,2.33,p402R.csv
124,,9,0,B,Steatite,HR,5700,9.0,p402R.csv
125,1.0x1.0,5,0,B,Steatite,E,2484a,5.0,p402R.csv
126,1.0x1.0,7,0,B,Steatite,HR,3207,7.0,p402R.csv
127,1.05x1.05,2,5,B,Steatite,HR,4368,2.42,p402R.csv
128,1.1x1.1,11,0,B,Steatite,VS,778,11.0,p402R.csv
129,1.4x0.6,1,0,B,Steatite,E,1094,1.0,p402R.csv
130,1.05x1.05,2,6,B,Steatite,VS,1468,2.5,p402R.csv
131,1.05x1.05,5,0,B,Steatite,VS,3391,5.0,p402R.csv
132,1.2x1.2,3,9,B,Steatite,D,552,3.75,p402R.csv
133,1.05x1.05,4,0,B,Steatite,B,383,4.0,p402R.csv
134,1.1x1.1,,,B,Steatite,E,2767,,p402R.csv
135,1.15x1.15,,,B,Steatite,HR,2973,,p402R.csv
136,1.05x1.05,3,6,B,Steatite (black),C,329,3.5,p402R.csv
137,?x0.4,18,0,B,Steatite,VS,3154,18.0,p402R.csv
138,1.25x?,2,8,B,Steatite,HR,4986,2.67,p402R.csv
139,1.45x?,6,0,B,Steatite,HR,5531,6.0,p402R.csv
140,1.2x1.2,7,0,B,Steatite,DK,3279,7.0,p402R.csv
141,1.0x1.0,5,6,B,Steatite,HR,1950,5.5,p403L.csv
142,1.35x1.35,1,6,B,Steatite,DK,3054,1.5,p403L.csv
143,0.8x0.8,,,B,Steatite,HR,4057,,p403L.csv
144,0.9x?,6,0,B,Steatite,HR,5076,6.0,p403L.csv
145,0.3x?,2,6,B,Steatite,DK,2971,2.5,p403L.csv
146,1.0x1.0,2,9,B,Steatite,E,845,2.75,p403L.csv
147,0.9x0.9,2,6,B,Steatite,DK,221,2.5,p403L.csv
