mackay_no,plate,n_signs,ends_jar,has_fish,has_arrow,numeral_group,confidence,note
379,XCIV,3,unclear,no,no,,low,fragment; worn
380,XCIV,5,likely,no,no,,medium,left sign U-shaped; X and three strokes
381,XCIV,4,likely,no,no,,medium,U then crescent then four strokes
382,XCIV,6,no,no,no,,medium,starts (left) with oval; ovals and strokes
383,XCIV,0,no,no,no,,high,swastika seal; no inscription
384,XCIV,4,no,no,no,,high,"A-shape,X-in-oval,circled cross,oval"
385,XCIV,5,no,no,no,,medium,strokes and two X signs; rhino below
386,XCIV,0,unclear,no,no,,low,inscription not visible in the photo
387,XCIV,5,no,no,no,,high,"forked stem,four strokes,circled cross"
388,XCIV,5,no,no,no,,medium,"forked stem,oval pair,strokes"
389,XCIV,6,likely,no,no,,medium,U at left; strokes and X
390,XCIV,8,unclear,no,no,,low,"long text,worn at left"
392,XCIV,8,likely,no,no,,medium,U at left then X-in-oval circled cross strokes
393,XCIV,7,likely,no,no,,medium,U-like at left; ovals and a bird-like sign
395,XCIV,7,no,no,no,,medium,grid sign at left; A-shape X and four strokes
396,XCIV,7,likely,no,no,,high,two U signs at left then strokes X X oval
397,XCIV,6,likely,no,no,,high,"U at left; diamond,dotted diamond,stroke"
398,XCIV,9,no,no,no,,medium,"dense text over bull; ovals,X signs"
399,XCIV,5,no,no,no,,medium,X and strokes; worn
400,XCIV,2,no,no,no,,medium,only a stroke and a leaf-like sign
401,XCIV,4,no,no,no,,medium,leaf/plant-like signs only
402,XCIV,7,likely,no,no,,medium,U at left; X and oval
403,XCIV,6,likely,no,no,,medium,U at left; strokes and oval
404,XCIV,6,no,no,no,,low,fragment; comb sign at left
405,XCIV,2,no,no,no,,low,narrow fragment; two signs only
406,XCIV,8,no,no,no,,medium,"dense text; ovals and X signs,oval at right"
407,XCIV,8,likely,no,no,,medium,U-like at left; ovals mid-text
409,XCIV,5,likely,no,no,,medium,U at left then X and oval
410,XCIV,6,likely,no,no,,medium,U at left; X and diamond-like signs
411,XCIV,6,no,no,no,,high,"A-shape at left,strokes,U,circled cross"
412,XCIV,0,no,no,no,,medium,animal only; no signs visible
413,XCIV,8,no,no,no,,low,worn; many small signs
414,XCIV,7,no,no,no,,high,"stroke,U,comb-like signs,X at right"
416,XCIV,3,no,no,no,,low,two animals; few signs
417,XCIV,6,no,no,no,,low,signs overlie the animal; hard to separate
418,XCIV,6,likely,no,no,,medium,U at left; strokes
419,XCIV,6,no,no,no,,medium,strokes X and oval; no clear jar
421,XCIV,6,no,no,no,,medium,strokes and comb-like sign; worn
422,XCIV,6,no,no,no,,high,"circled cross,diamond,arrow-like,ovals - very clear"
423,XCIV,8,no,no,no,,low,long row of strokes; worn
424,XCIV,7,likely,no,no,,medium,U at left; X X and oval
425,XCIV,2,no,no,no,,low,fragment
426,XCIV,8,no,no,no,,medium,strokes X X oval; left sign unclear
427,XCIV,7,no,no,no,,medium,"ovals,circled sign,strokes"
428,XCIV,7,no,no,no,,high,"ovals,fish-like sign,U,strokes"
429,XCIV,7,likely,no,no,,medium,U at left; oval and X
430,XCIV,6,no,no,no,,low,figured scene; signs above worn
272,LXXXVIII,6,likely,no,no,,medium,U at left; ovals X X and leaf
273,LXXXVIII,8,no,no,no,,high,X-in-oval at left; strokes U A-shape and X
274,LXXXVIII,4,no,no,no,,medium,stroke then angular signs; worn
275,LXXXVIII,6,no,no,no,,medium,A-shape and strokes; X at right
277,LXXXVIII,3,no,no,no,,medium,U-shapes above animal; fragment
278,LXXXVIII,6,likely,no,no,,medium,U at left; ovals
279,LXXXVIII,2,no,no,no,,low,mostly figure; few signs
282,LXXXVIII,6,likely,no,no,,medium,U at left; X and strokes
284,LXXXVIII,6,likely,no,no,,medium,U at left; ovals and U repeated
285,LXXXVIII,7,likely,no,no,,medium,U at left; X and comb-like signs
287,LXXXVIII,0,unclear,no,no,,low,fragment; inscription not visible
290,LXXXVIII,7,likely,no,no,,medium,U at left; strokes and oval at right
291,LXXXVIII,5,no,no,no,,low,fragment; strokes and a curved sign
292,LXXXVIII,7,no,no,no,,high,grid sign at left; strokes U and leaf
293,LXXXVIII,6,no,no,no,,medium,strokes and curved signs; worn
294,LXXXVIII,5,no,no,no,,medium,stroke grid-sign stroke; curved sign at right
295,LXXXVIII,6,no,no,no,,medium,X at left; strokes and U signs
298,LXXXVIII,6,no,no,no,,medium,strokes and grid-like sign
302,LXXXVIII,7,likely,no,no,,high,U at left; strokes ovals X oval
303,LXXXVIII,3,no,no,no,,medium,A-shape and angular signs only
304,LXXXVIII,7,no,no,no,,medium,ovals X and strokes; oval at right
305,LXXXVIII,8,no,no,no,,medium,dense strokes and ovals
306,LXXXVIII,6,likely,no,no,,medium,U at left; grid sign below
307,LXXXVIII,8,no,no,no,,medium,X signs and ovals; circled cross at right
309,LXXXVIII,5,likely,no,no,,medium,U at left; oval X and leaf
310,LXXXVIII,5,likely,no,no,,medium,U at left; grid sign and diamond at right
311,LXXXVIII,7,no,no,no,,medium,X-like signs and strokes
312,LXXXVIII,5,no,no,no,,medium,diamond oval and X; rectangular seal
313,LXXXVIII,4,no,no,no,,medium,oval at left; strokes
315,LXXXVIII,4,likely,no,no,,medium,large U at left; strokes
316,LXXXVIII,6,no,no,no,,medium,strokes and oval; leaf at right
317,LXXXVIII,7,no,no,no,,low,fragment; dense strokes
318,LXXXVIII,4,no,no,no,,high,"A-shape,A-shape,oval,oval"
320,LXXXVIII,4,no,no,no,,medium,strokes forming two groups
321,LXXXVIII,5,no,no,no,,low,worn; angular signs
323,LXXXVIII,6,no,no,no,,medium,X-like signs and diamond
325,LXXXVIII,9,likely,no,no,,high,U at left; forked stems X X ovals and A-shape
327,LXXXVIII,7,no,no,no,,low,worn; ovals and strokes
329,LXXXVIII,0,unclear,no,no,,low,photo blank/very dark
330,LXXXVIII,3,no,no,no,,low,fragment; comb sign
331,LXXXVIII,4,likely,no,no,,medium,U shapes; large U below
332,LXXXVIII,6,no,no,no,,medium,ovals and strokes; worn
333,LXXXVIII,7,likely,no,no,,medium,U at left; forked stems and X X
40,LXXXIII,4,unclear,no,no,yes,medium,"rechecked against the plate: this is No. 40, not 1"
2,LXXXIII,7,no,likely,no,yes,medium,strokes ovals and a leaf; unicorn
3,LXXXIII,3,no,no,no,unclear,low,fragment; two animals
4,LXXXIII,5,no,no,no,no,high,X oval U U X - rectangular seal
5,LXXXIII,5,no,no,no,no,medium,leaf oval and grid sign
6,LXXXIII,6,likely,no,no,yes,medium,stroke then U signs then oval
8,LXXXIII,4,no,no,no,yes,medium,strokes and oval above animal
9,LXXXIII,3,no,no,no,unclear,low,large fragment; few signs
10,LXXXIII,7,no,no,no,yes,medium,ovals X and strokes
11,LXXXIII,6,likely,no,no,no,medium,U at left; oval with dots and leaf
13,LXXXIII,7,no,no,no,yes,medium,strokes ovals and leaf
14,LXXXIII,5,no,no,no,yes,medium,stroke grid sign strokes
15,LXXXIII,5,no,no,no,yes,high,A-shape strokes U and crescent
16,LXXXIII,6,no,no,no,yes,medium,strokes X and leaf; worn
17,LXXXIII,0,no,no,no,no,high,swastika seal; no inscription
18,LXXXIII,9,likely,no,no,yes,medium,U at left; long text with X signs
21,LXXXIII,5,likely,no,no,unclear,medium,U at left; oval with dots and strokes
22,LXXXIII,7,likely,no,no,no,high,U at left; ovals crescents circled cross
23,LXXXIII,6,no,unclear,no,no,high,ovals leaf A-shape X
24,LXXXIII,8,no,no,no,yes,medium,dense signs over bull
25,LXXXIII,7,no,no,no,yes,medium,forked stem strokes and comb signs
28,LXXXIII,4,no,no,no,no,medium,zigzag band and curved signs
31,LXXXIII,5,no,no,no,no,medium,strokes and leaf at right
33,LXXXIII,8,likely,no,no,yes,medium,U at left; X X ovals
34,LXXXIII,7,no,no,likely,yes,medium,arrow-like A-shapes and X signs
35,LXXXIII,4,no,no,no,yes,medium,comb sign U U
36,LXXXIII,0,no,no,no,no,high,grid/lattice seal; no inscription
37,LXXXIII,7,no,no,no,no,high,ovals circled signs and U U
38,LXXXIII,6,no,no,no,yes,high,forked stem comb A-shape strokes circled cross
39,LXXXIII,5,no,no,no,no,medium,ovals circled oval and leaf
