plate,mackay_no,n_signs,ends_jar
LXXXIV,53,5,no
LXXXVIII,316,6,likely
LXXXIV,102,5,likely
XCIV,405,2,no
XCIV,421,5,no
LXXXV,143,6,no
LXXXVIII,273,8,no
LXXXIV,80,5,no
XCV,449,7,no
XCIV,411,6,no
LXXXV,124,5,no
LXXXIII,24,8,no
XCIV,400,3,no
XCIV,428,7,no
XCVIII,614,8,no
XCVIII,605,6,likely
XCIV,418,6,likely
LXXXIII,47,4,no
XCIV,430,7,no
LXXXV,155,4,no
XCVIII,608,5,no
XCIV,412,2,no
XCV,438,5,no
LXXXVIII,295,6,no
LXXXIII,34,7,no
XCV,484,4,no
XCV,483,3,no
XCIV,413,7,no
XCV,444,5,no
XCV,450,5,likely
LXXXIV,103,7,no
XCIV,406,7,no
LXXXIII,33,8,likely
XCIV,404,6,no
XCV,434,6,no
LXXXVIII,305,7,no
