plate_no,size_in,level_ft,level_in,type,material,area,serial
1,2.1x1.5,3,0,B,Steatite,HR,4161
2,1.8x1.8,4,2,B,Steatite,E,1187
3,1.85x1.85,2,0,B,Steatite,VS,823
4,1.8x1.8,3,0,B,Steatite,HR,582
5,1.0x?,7,0,B,Steatite,HR,3330
6,1.9x1.9,2,0,B,Steatite,HR,104
7,0.7x0.7,3,0,B,Steatite,HR,4110
8,2.0x2.0,3,0,B,Steatite,HR,743
9,2.5x2.5,2,0,B,Steatite,C,1895
10,2.1x2.1,3,0,B,Steatite,HR,4601
11,2.25x2.25,5,0,B,Steatite,C,194
12,1.85x1.85,1,6,B,Steatite,C,2691
13,0.85x?,2,6,B,Steatite,HR,1575
14,1.3x?,3,0,B,Steatite,DK,315
15,2.1x2.1,1,6,B,Steatite,VS,1329
16,2.35x2.35,3,0,B,Steatite,VS,1037
17,2.25x?,3,0,B,Steatite,HR,4568
18,2.7x2.7,2,0,B,Steatite,HR,5804
19,1.35x1.35,5,0,B,Steatite,VS,1799
20,1.4x1.4,4,9,B,Steatite,SD,1911
21,1.45x1.45,3,6,B,Steatite,VS,1469
22,1.4x1.4,surface,,B,Steatite,L,5
23,1.45x1.5,9,0,B,Steatite,HR,3730
24,1.4x1.4,6,4,B,Steatite,VS,2328
25,1.45x1.45,2,0,B,Steatite,DK,1528
26,0.9x?,8,9,B,Steatite,SD,1839
27,1.85x1.45,5,0,B,Steatite,VS,1573
28,1.4x1.4,3,6,B,Steatite,DK,2484
29,1.35x1.35,5,0,B,Steatite,HR,4868
30,1.65x1.6,surface,,B,Steatite,HR,167
31,1.6x1.6,5,0,B,Steatite,HR,5414
32,1.5x?,5,0,B,Steatite,HR,5030
33,1.8x1.8,6,6,B,Steatite,HR,2025
34,2.1x?,2,6,B,Steatite,C,181
35,1.45x1.45,5,0,B,Steatite,HR,2723
36,1.55x1.55,5,9,B,Steatite,F,46
37,1.65x1.65,1,0,B,Steatite,DK,402
38,2.5x2.5,2,6,B,Steatite,VS,2040
39,1.7x1.7,2,1,B,Steatite,VS,349
40,1.5x1.5,3,6,B,Steatite,D,187
41,1.35x1.35,3,11,B,Steatite,VS,2652
42,1.4x1.4,2,0,B,Steatite,HR,4356
43,1.3x1.3,5,5,B,Steatite,C,841
44,1.2x1.2,1,6,B,Steatite,DK,2055
45,1.25x1.25,2,6,B,Steatite,DK,188
46,1.25x1.25,3,6,B,Steatite,DK,2485
47,1.2x1.2,6,0,B,Steatite,VS,3414
48,1.15x1.15,3,0,B,Steatite,HR,4076
49,1.4x1.4,1,6,B,Steatite,DK,108
50,1.3x1.3,6,0,B,Steatite,HR,5085
51,1.35x1.35,6,0,B,Steatite,HR,4945
52,1.3x1.25,3,0,B,Steatite,HR,5629
53,1.25x1.25,3,0,B,Steatite,HR,629
54,1.4x1.4,5,0,B,Steatite,VS,3594
55,1.2x1.2,5,0,B,Steatite,DK,3069
56,,,,,,BJ,2
57,1.4x1.4,9,0,B,Steatite,DM,189
58,1.3x1.3,8,0,B,Steatite,HR,2582
59,1.25x?,7,0,B,Steatite,E,2401
60,1.25x1.3,3,0,B,Steatite,C,3070
61,1.5x1.5,11,0,B,Steatite,HR,1694
62,,,,,,BJ,3
63,1.65x?,11,0,B,Steatite,HR,1695
64,1.6x?,14,0,B,Steatite,HR,2468
65,1.5x1.5,4,0,B,Steatite,HR,5320
66,1.75x1.75,3,6,B,Steatite,VS,1059
67,1.85x1.85,10,0,B,Steatite,HR,2406
68,1.45x1.45,1,0,B,Steatite,D,21
69,1.6x1.6,3,0,B,Steatite,HR,640
70,1.2x1.2,5,2,B,Steatite,VS,2664
